MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Hensley Park Road,HAMILTON,C,2024-10-01 00:00:00
Henty Highway,BRANXHOLME,ABC,2024-10-01 00:00:00
Henty Highway,HAMILTON,ABC,2024-10-01 00:00:00
Henty Highway,MOORALLA,C,2024-10-01 00:00:00
Henty Highway,BRIMPAEN,C,2024-10-01 00:00:00
Henty Highway,BYRNEVILLE,C,2024-10-01 00:00:00
Henty Highway,RIVERSIDE,C,2024-10-01 00:00:00
Henty Highway,WONWONDAH NORTH,C,2024-10-01 00:00:00
Henty Highway,HAVEN,C,T
Henty Street,RESERVOIR,ABCD,2024-08-01 00:00:00
Hertford Road,SUNSHINE,BC,2024-05-02 00:00:00
Heyers Road,GROVEDALE,ABCD,2024-08-01 00:00:00
Heyington Avenue,THOMASTOWN,BCD,2024-08-01 00:00:00
Hidden Valley Boulevard,WALLAN,BC,2024-08-01 00:00:00
High Street,KANGAROO FLAT,ABCD,2023-10-01 00:00:00
High Street,WINDSOR,ABCD,2024-06-01 00:00:00
High Street,BROADFORD,ABCD,2024-08-01 00:00:00
High Street,SEYMOUR,ABCD,2024-08-01 00:00:00
High Street,LEARMONTH,ABCD,T
High Street,RESERVOIR,AC,2024-08-01 00:00:00
High Street,ARARAT,AC,2024-10-01 00:00:00
High Street,GOLDEN SQUARE,AC,2024-10-01 00:00:00
High Street,MELTON,BCD,2024-05-02 00:00:00
High Street,MELTON WEST,BCD,2024-05-02 00:00:00
High Street,EPPING,BCD,2024-08-01 00:00:00
High Street,LALOR,BCD,2024-08-01 00:00:00
High Street,GLEN IRIS,C,2024-06-01 00:00:00
High Street,KEW,C,2024-06-01 00:00:00
High Street,TEMPLESTOWE,C,2024-06-01 00:00:00
High Street,BEAUFORT,CD,2024-08-01 00:00:00
High Street Road,GLEN WAVERLEY,ABCD,T
High Street Road,WANTIRNA SOUTH,AC,2024-07-01 00:00:00
High Street Road,MOUNT WAVERLEY,C,2024-06-01 00:00:00
Highbury Road,GLEN WAVERLEY,C,2024-06-01 00:00:00
Highbury Road,MOUNT WAVERLEY,C,2024-06-01 00:00:00
Highett Road,HIGHETT,ABCD,2024-06-01 00:00:00
Highlander Drive,CRAIGIEBURN,ABC,2024-08-01 00:00:00
Highlands Road,SEYMOUR,ABC,2024-08-01 00:00:00
Highpark Drive,WOLLERT,BCD,2024-08-01 00:00:00
Highton Lane,MANSFIELD,BC,2024-04-01 00:00:00
Hillcrest Avenue,KEW EAST,ABCD,2024-07-01 00:00:00
Hilma Street,SUNSHINE WEST,C,2024-05-02 00:00:00
Hodder Street,BRIGHTON EAST,AC,2024-03-01 00:00:00
Hodgins Road,HASTINGS,BCD,2024-09-01 00:00:00
Hoffmans Road,NIDDRIE,C,2024-08-01 00:00:00
Holden Road,DIGGERS REST,C,2024-05-02 00:00:00
Holdsworth Road,NORTH BENDIGO,ABCD,2024-10-01 00:00:00
Holdsworth Road,WHITE HILLS,ABCD,2024-10-01 00:00:00
Holmes Street,BRUNSWICK,C,2024-08-01 00:00:00
Homestead Road,BERWICK,B,2024-04-01 00:00:00
Hopetoun Road,DROUIN,ABCD,2024-09-01 00:00:00
Hopetoun Road,TOORAK,BC,2024-06-01 00:00:00
Hopkins Highway,GRASSMERE,BC,2023-11-01 00:00:00
Hopkins Highway,PURNIM,C,2023-11-01 00:00:00
Hopkins Road,TRUGANINA,ABCD,2024-08-01 00:00:00
Horace Street,MALVERN,BC,2024-06-01 00:00:00
Horseshoe Bend Road,MOUNT DUNEED,BC,2024-08-01 00:00:00
Hosie Road,SHEPPARTON EAST,B,2024-08-01 00:00:00
Hotham Road,SORRENTO,ABCD,2024-09-01 00:00:00
Hotham Road,PORTSEA,C,2024-09-01 00:00:00
Hotham Street,RIPPONLEA,ABCD,2024-06-01 00:00:00
Howe Parade,GARDEN CITY,B,2024-06-01 00:00:00
Howitt Street,WARRAGUL,ACD,T
Howitt Street,BALLARAT NORTH,BCD,2024-08-01 00:00:00
Hughes Parade,RESERVOIR,ABC,2024-08-01 00:00:00
Hughes Street,OUYEN,C,2024-08-01 00:00:00
Hull Road,CROYDON,AC,2024-07-01 00:00:00
Hume Drive,TAYLORS HILL,BC,2024-05-02 00:00:00
Hume Drive,SYDENHAM,BC,2024-05-02 00:00:00
Hume Drive,CAROLINE SPRINGS,BCD,2024-05-02 00:00:00
Hume Freeway,BORALMA,ABC,2024-04-01 00:00:00
Hume Freeway,BOWSER,ABC,2024-05-02 00:00:00
Hume Freeway,TALLAROOK,ABC,2024-08-01 00:00:00
Hume Freeway,BARNAWARTHA NORTH,ABCD,2024-10-01 00:00:00
Hume Freeway,WODONGA,ABCD,2024-10-01 00:00:00
Hume Freeway,WANGARATTA,AC,2024-04-01 00:00:00
Hume Freeway,VIOLET TOWN,AC,2024-04-01 00:00:00
Hume Freeway,LOCKSLEY,AC,2024-08-01 00:00:00
Hume Freeway,CHILTERN,BC,2024-10-01 00:00:00
Hume Freeway,AVENEL,C,2024-08-01 00:00:00
Hume Freeway,EUROA,C,2024-08-01 00:00:00
Humffray Street N,BROWN HILL,ABCD,T
Humffray Street North,BALLARAT,C,2024-08-01 00:00:00
Humphries Road,FRANKSTON,C,2024-09-01 00:00:00
Huntingdale Road,OAKLEIGH SOUTH,ABCD,2024-06-01 00:00:00
Huntingdale Road,MOUNT WAVERLEY,C,2024-06-01 00:00:00
Huon Creek Road,WODONGA,C,2024-10-01 00:00:00
Hurd Street,PORTLAND,C,T
Hutchison Street,SALE,C,2023-12-01 00:00:00
Hutton Road,KEYSBOROUGH,C,2024-08-01 00:00:00
Huxley Avenue,MULGRAVE,BD,2024-06-01 00:00:00
Hyland Highway,FLYNNS CREEK UPPER,ABC,2024-02-01 00:00:00
Hyland Highway,TRARALGON,ABC,2024-02-01 00:00:00
Hyland Highway,YARRAM,C,2023-12-01 00:00:00
Ibbotson Street,ST LEONARDS,BCD,2024-08-01 00:00:00
Inglis Road,BERWICK,BC,2024-04-01 00:00:00
Inglis Street,BALLAN,ABCD,2024-08-01 00:00:00
Inglis Street,GOLDEN SQUARE,CD,2024-10-01 00:00:00
Inkerman Street,MARYBOROUGH,ABCD,2024-10-01 00:00:00
Inverloch-Venus Bay Road,INVERLOCH,B,2024-09-01 00:00:00
Inverloch-Venus Bay Road,POUND CREEK,BC,2024-09-01 00:00:00
Ironbark Road,YARRAMBAT,ACD,2024-08-01 00:00:00
Jacaranda Street,RED CLIFFS,ABCD,2024-06-01 00:00:00
Jacksons Road,NOBLE PARK NORTH,BC,2024-08-01 00:00:00
James Mirams Drive,ROXBURGH PARK,AC,2024-08-01 00:00:00
Jardin Road,WOLLERT,BCD,2024-06-01 00:00:00
Jasper Road,BENTLEIGH,ABC,2024-03-01 00:00:00
Jasper Road,MCKINNON,BC,2024-03-01 00:00:00
Jeeralang North Road,HAZELWOOD NORTH,ABC,2024-02-01 00:00:00
Jells Road,WHEELERS HILL,AC,2024-01-01 00:00:00
Jetty Road,ROSEBUD,C,2024-09-01 00:00:00
JOBS GULLY Road,JACKASS FLAT,CD,2024-10-01 00:00:00
John Allan Road,WYUNA,CD,2024-05-02 00:00:00
John Field Drive,NEWBOROUGH,ABCD,2024-09-01 00:00:00
Johnson Street,RESERVOIR,BC,2024-08-01 00:00:00
Jones Road,SOMERVILLE,BC,2024-09-01 00:00:00
Jukes Road,FAWKNER,ABC,2024-08-01 00:00:00
Kangaroo Ground-St Andrews Road,SMITHS GULLY,A,2024-08-01 00:00:00
Kangaroo Ground-St Andrews Road,PANTON HILL,ABCD,2024-08-01 00:00:00
Kangaroo Ground-St Andrews Road,KANGAROO GROUND,AC,2024-08-01 00:00:00
Kangaroo Ground-Warrandyte Road,KANGAROO GROUND,BC,2024-08-01 00:00:00
Kangaroo Road,MURRUMBEENA,B,2024-03-01 00:00:00
Karadoc Avenue,IRYMPLE,BC,2024-08-01 00:00:00
Karingal Drive,FRANKSTON,ABC,2024-09-01 00:00:00
Karinie Street,SWAN HILL,C,2024-08-01 00:00:00
Karook Street,COBRAM,ABCD,2024-10-01 00:00:00
Kars Street,FRANKSTON,C,2024-09-01 00:00:00
Katamatite Road,CONGUPNA,C,2024-08-01 00:00:00
Katamatite-Shepparton Road,TALLYGAROOPNA,C,2024-08-01 00:00:00
Keilor Park Drive,KEILOR PARK,ABCD,2024-05-02 00:00:00
Kelvinside Road,NOBLE PARK,BC,2024-08-01 00:00:00
Kenmare Street,WATSONIA,C,2024-08-01 00:00:00
Kennedy Street,CASTLEMAINE,ABCD,2024-10-01 00:00:00
Kensington Road,KENSINGTON,ABC,2024-08-01 00:00:00
Kensington Road,LEOPOLD,BC,2024-08-01 00:00:00
Kent Street,ASCOT VALE,BC,2024-08-01 00:00:00
Keon Parade,KEON PARK,AC,2024-08-01 00:00:00
Kerang-Koondrook Road,TEAL POINT,C,2023-09-01 00:00:00
Kerang-Murrabit Road,KERANG,BC,2023-09-01 00:00:00
Kerang-Murrabit Road,WESTBY,BC,2023-09-01 00:00:00
Kerang-Quambatook Road,KERANG,BC,T
Kerferd Road,ALBERT PARK,ABC,2024-06-01 00:00:00
Keys Road,MOORABBIN EAST,C,2024-06-01 00:00:00
Kialla Lakes Drive,KIALLA,ABCD,2024-08-01 00:00:00
Kiewa East Road,KIEWA,ABCD,2024-10-01 00:00:00
Kiewa Valley  Highway,TAWONGA,ABCD,2024-03-01 00:00:00
Kiewa Valley  Highway,KERGUNYAH,ABCD,2024-10-01 00:00:00
Kiewa Valley  Highway,DEDERANG,ABCD,T
Kiewa Valley Highway,KIEWA,ABC,2024-10-01 00:00:00
Kiewa Valley Highway,MOUNT BEAUTY,ABCD,2024-03-01 00:00:00
Kiewa Valley Highway,TAWONGA,ABCD,2024-03-01 00:00:00
Kiewa Valley Highway,TAWONGA SOUTH,ABCD,2024-03-01 00:00:00
Kiewa Valley Highway,BARANDUDA,ABCD,2024-10-01 00:00:00
Kiewa Valley Highway,RUNNING CREEK,AC,2024-03-01 00:00:00
Kiewa Valley Highway,BANDIANA,AC,2024-10-01 00:00:00
Kiewa Valley Highway,DEDERANG,BC,2024-03-01 00:00:00
Kilby Road,KEW EAST,ACD,2024-06-01 00:00:00
Kilmore - Lancefield Road,KILMORE,ABCD,T
Kilmore-Epping Road,WALLAN,ABC,2024-08-01 00:00:00
Kilmore-Lancefield Road,KILMORE,C,2024-08-01 00:00:00
King Parrot Creek Road,STRATH CREEK,C,2024-08-01 00:00:00
King Street,HAMILTON,C,2024-10-01 00:00:00
Kings Road,DELAHEY,ABCD,2024-05-02 00:00:00
Kings Road,KINGS PARK,ABCD,2024-05-02 00:00:00
Kings Road,TAYLORS LAKES,ABCD,2024-05-02 00:00:00
Kings Road,ST ALBANS,AC,2024-05-02 00:00:00
Kings Way,MELBOURNE,ABCD,2024-04-01 00:00:00
Kingsbury Drive,BUNDOORA,ABCD,2024-01-01 00:00:00
Kingsclere Avenue,KEYSBOROUGH,C,2024-08-01 00:00:00
Kingston Road,HEATHERTON,AC,2024-03-01 00:00:00
Kiora Street,ALTONA MEADOWS,BCD,2023-08-01 00:00:00
Kobyboyn Road,SEYMOUR,ABC,2024-08-01 00:00:00
Koo Wee Rup-Longwarry Road,BAYLES,B,2024-04-01 00:00:00
Koonoomoo Road,COBRAM,C,2024-10-01 00:00:00
Koorlong Avenue,IRYMPLE,BCD,2024-08-01 00:00:00
Kooyong Road,CAULFIELD NORTH,C,2024-06-01 00:00:00
Kooyong Road,CAULFIELD SOUTH,C,2024-06-01 00:00:00
Kororoit Creek Road,ALTONA,BCD,2023-08-01 00:00:00
Kororoit Creek Road,WILLIAMSTOWN NORTH,C,2023-08-01 00:00:00
Kulkyne Way,KARADOC,ABC,2024-08-01 00:00:00
Kulkyne Way,IRAAK,AC,2024-08-01 00:00:00
Kurrak Road,YARRAMBAT,ABCD,2024-08-01 00:00:00
Kyneton-Trentham Road,TRENTHAM,BC,2024-08-01 00:00:00
Labuan Road,NUMURKAH,ABCD,2024-10-01 00:00:00
Lady Nelson Way,KEILOR DOWNS,C,2024-05-02 00:00:00
Lakeside Drive,MELBOURNE,ABCD,2024-04-01 00:00:00
Lakeside Drive,ST KILDA,ABCD,2024-04-01 00:00:00
Lakeside Drive,ALBERT PARK,BC,2024-06-01 00:00:00
Lakeside Drive,LAKE BOGA,C,T
Lakeview Drive,LILYDALE,ABCD,2024-07-01 00:00:00
Lancaster Road,KYABRAM,BC,2024-05-02 00:00:00
Lancefield Road,SUNBURY,ABC,2024-08-01 00:00:00
Langs Road,ASCOT VALE,C,2024-08-01 00:00:00
Lansdowne Street,EAST MELBOURNE,AD,2024-04-01 00:00:00
Latrobe Road,MORWELL,ABCD,2024-02-01 00:00:00
Latrobe Road,MARYVALE,BC,2024-02-01 00:00:00
LaTrobe Street,REDAN,ABCD,2024-08-01 00:00:00
Lawn Road,SPRINGVALE,C,2024-08-01 00:00:00
Lawrence Street,WODONGA,B,2024-10-01 00:00:00
Leakes Road,PLUMPTON,ABC,2024-05-02 00:00:00
Leakes Road,TRUGANINA,BCD,2023-08-01 00:00:00
Leamington Street,RESERVOIR,BCD,2024-08-01 00:00:00
Lehmanns Road,WOLLERT,BCD,2024-05-02 00:00:00
Leonard Avenue,ST ALBANS,C,2024-06-01 00:00:00
Leppitt Road,PAKENHAM,B,2024-04-01 00:00:00
Leslie Street,ST ALBANS,BC,2024-05-02 00:00:00
Liberty Avenue,ROWVILLE,C,2024-05-02 00:00:00
Lincoln Causeway,GATEWAY ISLAND,ABCD,2024-08-01 00:00:00
Linsell Boulevard,CRANBOURNE EAST,BC,2024-04-01 00:00:00
Lithgow Street,BEVERIDGE,ABCD,T
Liverpool Road,KILSYTH,C,2024-07-01 00:00:00
Livingstone Street,AVENEL,BC,2024-08-01 00:00:00
Lloyd Street,MOE,ABCD,2024-02-01 00:00:00
Lockwood Road,KANGAROO FLAT,ACD,2024-10-01 00:00:00
Loddon Valley  Highway,MACORNA,BC,T
Loddon Valley  Highway,TRAGOWEL,C,T
Loddon Valley Highway,KERANG SOUTH,C,2023-09-01 00:00:00
Loddon Valley Highway,CANARY ISLAND SOUTH,C,2024-10-01 00:00:00
Loddon Valley Highway,DURHAM OX,C,2024-10-01 00:00:00
Loddon Valley Highway,JARKLIN,C,2024-10-01 00:00:00
Loddon Valley Highway,YARRABERB,C,2024-10-01 00:00:00
Loddon Valley Highway,CAMPBELLS FOREST,C,2024-10-01 00:00:00
Loddon Valley Highway,TRAGOWEL,C,T
Long Forest Road,LONG FOREST,BC,2024-08-01 00:00:00
Longford-Loch Sport Road,LONGFORD,ABC,2023-12-01 00:00:00
Longford-Loch Sport Road,DUTSON,C,2023-12-01 00:00:00
Lower Dandenong Road,MORDIALLOC,AC,2024-06-01 00:00:00
Lower Dandenong Road,DINGLEY VILLAGE,C,2024-03-01 00:00:00
Lower Duneed Road,MOUNT DUNEED,ABC,2024-08-01 00:00:00
Lower Heidelberg Road,IVANHOE EAST,ABCD,T
Lower Plenty Road,YALLAMBIE,ABC,2024-08-01 00:00:00
Ludstone Street,HAMPTON,AC,2024-03-01 00:00:00
Lum Road,WHEELERS HILL,BC,2024-06-01 00:00:00
Lyall Road,BERWICK,B,2024-04-01 00:00:00
Lygon Street,CARLTON NORTH,AC,T
Lynnes Road,WATTLE BANK,BC,2024-09-01 00:00:00
Lyon Road,VIEWBANK,BCD,2024-08-01 00:00:00
Lyons Street,WHITE HILLS,CD,2024-10-01 00:00:00
Lyrebird Drive,CARRUM DOWNS,ABC,2024-09-01 00:00:00
MacArthur Street,SALE,C,2023-12-01 00:00:00
Macaulay Road,NORTH MELBOURNE,ABC,2024-08-01 00:00:00
Mackie Road,BENTLEIGH EAST,BCD,2024-06-01 00:00:00
Macleod Street,BAIRNSDALE,BC,2023-12-01 00:00:00
Madeira Packet Road,PORTLAND,C,T
Maffra-Rosedale Road,NAMBROK,ABC,2023-12-01 00:00:00
Maffra-Sale Road,MAFFRA,ABCD,2023-12-01 00:00:00
Maginness Street,BENALLA,C,2024-04-01 00:00:00
Maiden Gully Road,MAIDEN GULLY,ABCD,2024-10-01 00:00:00
Maidstone Street,ALTONA,C,2023-08-01 00:00:00
Main Hurstbridge Road,DIAMOND CREEK,BCD,2024-08-01 00:00:00
Main Neerim Road,NEERIM SOUTH,ABC,T
Main Neerim Road,NEERIM JUNCTION,ABD,T
Main Neerim Road,DROUIN,BCD,T
Main Road,CAMPBELLS CREEK,ABCD,2023-08-01 00:00:00
Main Road,LOWER PLENTY,ABCD,2024-08-01 00:00:00
Main Road,MONTMORENCY,AC,2024-08-01 00:00:00
Main Road,HURSTBRIDGE,BC,2024-08-01 00:00:00
Main Road,PAYNESVILLE,C,2023-12-01 00:00:00
Main Road,SEASPRAY,C,2024-05-02 00:00:00
Main Road,ELTHAM,C,2024-08-01 00:00:00
Main Road East,ST ALBANS,ABCD,2024-05-02 00:00:00
Main Road West,ST ALBANS,ABCD,2024-05-02 00:00:00
Main South Road,DROUIN,ABCD,2024-09-01 00:00:00
Main Street,BLACKBURN,ABCD,2024-06-01 00:00:00
Main Street,ROMSEY,CD,2024-05-02 00:00:00
Major Road,FAWKNER,ABC,2024-08-01 00:00:00
Majorca Road,MARYBOROUGH,BC,2024-10-01 00:00:00
Malcolm Street,MANSFIELD,ABC,2024-10-01 00:00:00
Mallee,MURRAYVILLE,ABCD,2024-08-01 00:00:00
Mallee Highway,PIANGIL WEST,C,2023-09-01 00:00:00
Mallee Highway,BOINKA,C,2024-08-01 00:00:00
Mallee Highway,BOORONGIE NORTH,C,2024-08-01 00:00:00
Mallee Highway,CARINA,C,2024-08-01 00:00:00
Mallee Highway,COWANGIE,C,2024-08-01 00:00:00
Mallee Highway,KULWIN,C,2024-08-01 00:00:00
Mallee Highway,PANITYA,C,2024-08-01 00:00:00
Mallee Highway,UNDERBOOL,C,2024-08-01 00:00:00
Mallee Highway,WAGANT,C,2024-08-01 00:00:00
Mallee Highway,WALPEUP,C,2024-08-01 00:00:00
Mallee Highway,MANANGATANG,C,2024-08-01 00:00:00
Mallee Highway,PIANGIL,C,2024-08-01 00:00:00
Malvern Road,SOUTH YARRA,BC,2024-06-01 00:00:00
Malvern Road,GLEN IRIS,C,2024-06-01 00:00:00
Malvern Road,MALVERN EAST,C,2024-06-01 00:00:00
Malvern Road,TOORAK,C,2024-06-01 00:00:00
Manks Road,CLYDE,B,2024-04-01 00:00:00
Manningham Street,PARKVILLE,BD,2024-08-01 00:00:00
Mansfield Whitfield Road,MANSFIELD,ABCD,2024-10-01 00:00:00
Mansfield Whitfield Road,BRIDGE CREEK,ACD,2024-10-01 00:00:00
Mansfield-Whitfield Road,TOLMIE,ABC,2024-10-01 00:00:00
Mansfield-Whitfield Road,BRIDGE CREEK,C,2024-10-01 00:00:00
Mansfield-Woods Point Road,PIRIES,AC,2024-04-01 00:00:00
Mansfield-Woods Point Road,JAMIESON,BCD,2024-04-01 00:00:00
Mansfield-Woods Point Road,MANSFIELD,C,2024-04-01 00:00:00
Mansfield-Woods Point Road,HOWQUA,C,2024-04-01 00:00:00
Manuka Road,BERWICK,B,2024-04-01 00:00:00
Marathon Boulevard,CRAIGIEBURN,ABC,2024-08-01 00:00:00
Maribyrnong Road,ASCOT VALE,BC,2024-08-01 00:00:00
Marine Drive,SAFETY BEACH,C,2024-09-01 00:00:00
Marine Parade,HASTINGS,ABC,2024-09-01 00:00:00
Marine Parade,ELWOOD,BC,2024-06-01 00:00:00
Market Road,SUNSHINE,BCD,2024-05-02 00:00:00
Market Road,WERRIBEE,C,2023-08-01 00:00:00
Marlo Road,MARLO,BC,2024-05-02 00:00:00
Marong Road,IRONBARK,ABCD,2023-10-01 00:00:00
Marong Road,WEST BENDIGO,ACD,2024-10-01 00:00:00
Maroondah Highway,YARCK,A,2024-10-01 00:00:00
Maroondah Highway,HEALESVILLE,ABC,2024-07-01 00:00:00
Maroondah Highway,MERTON,ABC,2024-10-01 00:00:00
Maroondah Highway,COLDSTREAM,ABCD,2024-07-01 00:00:00
Maroondah Highway,BUXTON,AC,2024-04-01 00:00:00
Maroondah Highway,BONNIE DOON,AC,2024-10-01 00:00:00
Maroondah Highway,MAINDAMPLE,AC,2024-10-01 00:00:00
Maroondah Highway,LILYDALE,ACD,2024-07-01 00:00:00
Maroondah Highway,NARBETHONG,C,2024-04-01 00:00:00
Maroondah Highway,TAGGERTY,C,2024-04-01 00:00:00
Maroondah Highway,KANUMBRA,C,2024-10-01 00:00:00
Maroondah Highway,MANSFIELD,C,2024-10-01 00:00:00
Maroondah highway,WOODFIELD,C,2024-10-01 00:00:00
Maroondah Link Highway,CATHKIN,C,2024-10-01 00:00:00
Marshall Street,IVANHOE,BCD,2024-08-01 00:00:00
Mary Street,HEYFIELD,ABCD,2023-12-01 00:00:00
Maryborough Road,ASCOT,C,2024-08-01 00:00:00
Maryborough-Ballarat Road,TALBOT,ACD,2024-10-01 00:00:00
Maryborough-Dunolly Road,HAVELOCK,ABCD,2024-10-01 00:00:00
Marysville Buxton Road,MARYSVILLE,ABCD,2024-04-01 00:00:00
Marysville Road,GRANTON,C,2024-04-01 00:00:00
Maryvale Road,MORWELL,BC,2024-02-01 00:00:00
Mascoma Street,STRATHMORE,BC,2024-08-01 00:00:00
Massey Avenue,RESERVOIR,BCD,2024-08-01 00:00:00
Mayfair Drive,WODONGA,BCD,2024-10-01 00:00:00
McArthur Road,IVANHOE EAST,BCD,2024-08-01 00:00:00
McBryde Street,FAWKNER,BCD,2024-08-01 00:00:00
McClelland Drive,LANGWARRIN,ABC,2024-09-01 00:00:00
McCormick Road,KYABRAM,CD,2024-05-02 00:00:00
McCormicks Road,SKYE,ABC,2024-08-01 00:00:00
McCormicks Road,CARRUM DOWNS,ABC,2024-09-01 00:00:00
Mccormicks Road,SANDHURST,ABCD,2023-11-01 00:00:00
McCurdy Road,HERNE HILL,BC,2024-08-01 00:00:00
McDonalds Road,EPPING,BCD,2024-08-01 00:00:00
McIntyre Road,SUNSHINE NORTH,ABCD,2024-06-01 00:00:00
McIvor Highway,AXEDALE,AC,2024-10-01 00:00:00
McIvor Highway,KNOWSLEY,C,2024-10-01 00:00:00
McKean Street,BAIRNSDALE,C,2023-12-01 00:00:00
McKimmies Road,BUNDOORA,BCD,2024-08-01 00:00:00
Mclennan Street,MOOROOPNA,ABCD,T
McMahens Road,BANGHOLME,C,2024-08-01 00:00:00
McMahons Road,FRANKSTON,C,2024-09-01 00:00:00
Meadowvale  Drive,GROVEDALE,BC,2024-08-01 00:00:00
Medway Road,CRAIGIEBURN,C,2024-08-01 00:00:00
Meeniyan-Promontory Road,BUFFALO,BC,2024-09-01 00:00:00
Melaluka Road,LEOPOLD,ABCD,2024-08-01 00:00:00
Melba Highway,YARRA GLEN,ABC,2024-07-01 00:00:00
Melba Highway,DIXONS CREEK,ABCD,2024-07-01 00:00:00
Melba Highway,LIMESTONE,AC,2024-08-01 00:00:00
Melba Highway,DEVLIN BRIDGE,C,2024-08-01 00:00:00
Melba Highway,GLENBURN,C,2024-08-01 00:00:00
Melbourne Road,RYE,ABCD,2024-09-01 00:00:00
Melbourne Road,NORTH GEELONG,ABCD,T
Melbourne Road,YEA,C,2024-08-01 00:00:00
Melbourne Road,BLAIRGOWRIE,C,2024-09-01 00:00:00
Melbourne Road,SORRENTO,C,2024-09-01 00:00:00
Melbourne-Lancefield Road,CLARKEFIELD,AC,2024-05-02 00:00:00
Melbourne-Lancefield Road,SUNBURY,C,2024-08-01 00:00:00
Melrose Drive,WODONGA,ABCD,2024-10-01 00:00:00
Melrose Drive,TULLAMARINE,ABCD,T
Melton Highway,MELTON,ABCD,2024-05-02 00:00:00
Melton Highway,TAYLORS LAKES,ABCD,T
Melton Highway,SYDENHAM,C,2024-05-02 00:00:00
Melton Road,GISBORNE,ABCD,T
Melton Valley Drive,MELTON,BCD,2024-05-02 00:00:00
Melville Road,BRUNSWICK WEST,BCD,2024-08-01 00:00:00
Melville Road,PASCOE VALE SOUTH,C,2024-08-01 00:00:00
Menadue Street,HORSHAM,BC,2024-10-01 00:00:00
Merriang Road,BEVERIDGE,ABCD,2024-08-01 00:00:00
Merriang Road,WOODSTOCK,CD,2024-08-01 00:00:00
Merton-Euroa Road,MERTON,AC,2024-04-01 00:00:00
Metropolitan Ring Road,WATSONIA NORTH,ABC,2024-01-01 00:00:00
Metung Road,SWAN REACH,AC,2023-12-01 00:00:00
Mickleham Road,TULLAMARINE,ABC,2024-08-01 00:00:00
Mickleham Road,GREENVALE,ABC,2024-08-01 00:00:00
Mickleham Road,MICKLEHAM,AC,2024-08-01 00:00:00
Mickleham Road,YUROKE,AC,2024-08-01 00:00:00
Middleborough Road,BLACKBURN SOUTH,C,2024-06-01 00:00:00
Midland Highway,ELAINE,ABC,2024-08-01 00:00:00
Midland Highway,EPSOM,ABCD,2023-10-01 00:00:00
Midland Highway,MOOROOPNA,ABCD,2024-08-01 00:00:00
Midland Highway,BENALLA,AC,2024-04-01 00:00:00
Midland Highway,LIMA,AC,2024-04-01 00:00:00
Midland Highway,BATESFORD,AC,2024-08-01 00:00:00
Midland Highway,MANSFIELD,AC,2024-10-01 00:00:00
Midland Highway,HUNTLY,ACD,2024-10-01 00:00:00
Midland Highway,NEWLYN,BC,2024-08-01 00:00:00
Midland Highway,MAGPIE,BC,2024-08-01 00:00:00
Midland Highway,GHERINGHAP,BC,2024-08-01 00:00:00
Midland Highway,SHEPPARTON EAST,BC,2024-08-01 00:00:00
Midland Highway,GOORNONG,BCD,2024-10-01 00:00:00
Midland Highway,STEWARTON,C,2023-10-01 00:00:00
Midland Highway,BARJARG,C,2024-04-01 00:00:00
Midland Highway,SWANPOOL,C,2024-04-01 00:00:00
Midland Highway,BLAMPIED,C,2024-08-01 00:00:00
Midland Highway,MOUNT FRANKLIN,C,2024-08-01 00:00:00
Midland Highway,MOUNT PROSPECT,C,2024-08-01 00:00:00
Midland Highway,BANNOCKBURN,C,2024-08-01 00:00:00
Midland Highway,CLARENDON,C,2024-08-01 00:00:00
Midland Highway,BYRNESIDE,C,2024-08-01 00:00:00
Midland Highway,TATURA,C,2024-08-01 00:00:00
Midland Highway,BARKERS CREEK,C,2024-10-01 00:00:00
Midland Highway,CAMPBELLS CREEK,C,2024-10-01 00:00:00
Midland Highway,CASTLEMAINE,C,2024-10-01 00:00:00
Midland Highway,COROP,CD,2024-05-02 00:00:00
MIDLAND Highway,AVONMORE,CD,2024-10-01 00:00:00
Midland Highway,WHITE HILLS,CD,2024-10-01 00:00:00
Midland Link Highway,MAINDAMPLE,ABC,2024-04-01 00:00:00
Military Road,AVONDALE HEIGHTS,BC,2024-08-01 00:00:00
Milleara Road,KEILOR EAST,C,2024-08-01 00:00:00
Miller Street,EPPING,AC,2024-08-01 00:00:00
Millers Road,ALTONA,C,2023-08-01 00:00:00
Millers Road,ALTONA NORTH,C,2023-08-01 00:00:00
Millewa Road,KOORLONG,C,2024-08-01 00:00:00
Millewa Road,RED CLIFFS,C,2024-08-01 00:00:00
Mitcham Road,MITCHAM,C,2024-06-01 00:00:00
Mitchell Street,COLBINABBIN,BCD,2024-05-02 00:00:00
Mitchell Street,MAIDSTONE,C,2023-08-01 00:00:00
Mitford Street,ELWOOD,BCD,2024-06-01 00:00:00
Moe-Glengarry Road,YALLOURN NORTH,AC,2024-02-01 00:00:00
Moe-Willow Grove Road,WILLOW GROVE,AC,T
Monaro Highway,NOORINBEE,ABC,2024-05-02 00:00:00
Monash Road,NEWBOROUGH,ABC,2024-02-01 00:00:00
Monash Street,SUNSHINE,ABC,2024-05-02 00:00:00
Monash Way,CHURCHILL,ABC,2024-02-01 00:00:00
Monbulk Road,SILVAN,ABC,2024-07-01 00:00:00
